name;url;description;physical_address;hours;phone1_number;phone1_label;phone1_has_clerk;phone2_number;phone2_label;phone2_has_clerk;phone3_number;phone3_label;phone3_has_clerk;phone4_number;phone4_label;phone4_has_clerk;phone5_number;phone5_label;phone5_has_clerk;phone6_number;phone6_label;phone6_has_clerk;phone7_number;phone7_label;phone7_has_clerk;phone8_number;phone8_label;phone8_has_clerk;phone9_number;phone9_label;phone9_has_clerk;phone10_number;phone10_label;phone10_has_clerk;fax1_number;fax1_label;fax1_has_clerk;fax2_number;fax2_label;fax2_has_clerk;fax3_number;fax3_label;fax3_has_clerk;fax4_number;fax4_label;fax4_has_clerk;fax5_number;fax5_label;fax5_has_clerk;ada_coordinators;notes;mailing_address
"Barnstable District Court";https://www.mass.gov/locations/barnstable-district-court;"The Barnstable District Court serves Barnstable, Yarmouth, and Sandwich.";"3195 Main St., Barnstable, MA 02630";"Monday - Friday: \n 8:30 am-4:30 pm";"(508) 375-6778";Assumed primary number;false;"(508) 375-6778";"Criminal Department";false;"(508) 375-6785";"Civil Department";false;"(508) 375-6827";"Small Claims Department";false;"(508) 375-6825";"Summary Process (Eviction) Department";false;"(508) 375-6789";"Bookkeeping Department";false;"(508) 375-6800";"Probation Department";false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;"\"Louise Johnson\".";None detected;Not yet handled
"Falmouth District Court";https://www.mass.gov/locations/falmouth-district-court;"This court serves Bourne, Falmouth, and Mashpee.";"161 Jones Rd., Falmouth, MA 02540";"Monday - Friday: \n 8:30 am-4:30 pm";"(508) 495-1500";Assumed primary number;false;"(508) 495-1500";"Clerk's office";true;"(508) 495-1500";"Criminal Department";false;"(508) 495-1500";"Motor Vehicle Hearings";false;"(508) 495-1500";"Small Claims";false;"(508) 495-1500";"Civil Department";false;"(508) 495-1500";"Restraining Orders";false;"(508) 495-1500";"Summary Process (evictions)";false;"(508) 495-1500";"Supplementary Process";false;"(508) 495-1500";"Probation Department";false;N/A;N/A;false;"(508) 495-0992";"Clerk's Office";true;"(508) 495-0891";"Probation Department";false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;"\"Aja Frigon\".";None detected;Not yet handled
"Orleans District Court";https://www.mass.gov/locations/orleans-district-court;"This court serves Brewster, Chatham, Dennis, Eastham, Orleans, Harwich, Truro, Wellfleet, and Provincetown.";"237 Rock Harbor Road, Orleans, MA 02653";"Monday - Friday: \n 8:30 am-4:30 pm";"(508) 255-4700";"Clerk’s Office & Probation Department";true;"(508) 255-1924";"TTY";false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;"(508) 240-1150";"Probation Department";false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;"\"Marion Broiderick\". \"Jurors Only\".";None detected;Not yet handled
"Barnstable Juvenile Court";https://www.mass.gov/locations/barnstable-juvenile-court;"The Barnstable County, town of Plymouth Division of the Juvenile Court in Barnstable serves Barnstable, Sandwich, Yarmouth.\n\nThe mailing address for this court is:\n\n3195 Main Street, P.O. Box 427, Barnstable, MA 02630";"3195 Main Street, Barnstable, MA 02630";"Hours vary";"(508) 362-1389";"Clerk's Office";true;"(508) 362-8606";"Probation Department";false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;"\"Anastatia (Statia) Andrade\".";None detected;Not yet handled
"Edgartown Juvenile Court";https://www.mass.gov/locations/edgartown-juvenile-court;"The Barnstable County-Town of Plymouth Division of the Juvenile Court in Edgartown serves Aquinnah, Chilmark, Edgartown, Gosnold, Oaks Bluff, Tisbury, West Tisbury";"81 Main Street, Edgartown, MA 02539";"Hours vary";"(508) 495-1696";Assumed primary number;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;None detected;None detected;Not yet handled
"Falmouth Juvenile Court";https://www.mass.gov/locations/falmouth-juvenile-court;"The Barnstable County-Town of Plymouth Division of the Juvenile Court in Falmouth serves Bourne, Falmouth, and Mashpee.";"161 Jones Rd., Falmouth, MA 02540";"Hours vary";"(508) 495-1696";"Clerk's Office";true;"(508) 495-1693";"Probation Department";false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;"\"Tee Sadler\".";None detected;Not yet handled
"Nantucket Juvenile Court";https://www.mass.gov/locations/nantucket-juvenile-court;"The Barnstable County-Town of Plymouth Division of the Juvenile Court in Nantucket serves all towns in Nantucket County.";"16 Broad St., Nantucket, MA 02554";"Need to add something here";"(508) 325-4265";"Clerk's Office";true;"(508) 495-1696";"Clerk's Office";true;"(508) 325-4265";"Probation Department";false;"(508) 495-1693";"Probation Department";false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;None detected;None detected;Not yet handled
"Orleans Juvenile Court";https://www.mass.gov/locations/orleans-juvenile-court;"The Barnstable County-Town of Plymouth Division of the Juvenile Court in Orleans serves Brewster, Chatham, Dennis, Eastham, Harwich, Orleans, Provincetown, Truro, and Wellfleet.";"237 Rock Harbor Rd., Orleans, MA 02653";"Hours vary";"(508) 240-5044";"Clerk's Office";true;"(508) 240-5030";"Probation Department";false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;None detected;None detected;Not yet handled
"Plymouth Juvenile Court";https://www.mass.gov/locations/plymouth-juvenile-court;"The Barnstable County-Town of Plymouth Division of the Juvenile Court in Plymouth serves Duxbury, Halifax, Hanson, Kingston, Marshfield, Pembroke, Plymouth, and Plympton.";"52 Obery St., Suite 1092, Plymouth, MA 02360";"Hours vary";"(508) 747-0858";"Clerk's Office";true;"(508) 747-8400";"Probation Department";false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;"\"Anastatia (Statia) Andrade\". \"Jurors Only\".";None detected;Not yet handled
"Barnstable Probate and Family Court";https://www.mass.gov/locations/barnstable-probate-and-family-court;"This court serves all cities and towns in Barnstable County.\n\nThe mailing address for this court is:\n\n3195 Main St. , P.O. Box 346, Barnstable, MA 02630";"3195 Main St. , Barnstable, MA 02630";"Monday - Friday: \n 8:30 am-4:30 pm";"(508) 375-6710";"Register's Office";false;"(508) 375-6710";"Register’s Office";false;"(508) 375-6725";"Probate and Estates";false;"(508) 375-6728";"Guardianships";false;"(508) 375-6725";"Equity";false;"(508) 375-6721";"Domestic Relations and Divorce";false;"(508) 375-6723";"Paternity";false;"(508) 375-6846";"Protection from Abuse";false;"(508) 375-6735";"Probation Department";false;N/A;N/A;false;N/A;N/A;false;"(508) 362-3662";"Register's Office";false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;N/A;N/A;false;"\"Caitlin G. Ochoa\". \"Katharine H.  Prunty\". \"Meghan E. Tracy\".";None detected;Not yet handled
